HederaHBAR,€0.0485,,2.50%,€1.6B,€57.7M,33.5B,Trade
Internet ComputerICP,€3.63,,3.94%,€1.6B,€26.6M,447.7M,Trade
AptosAPT,€6.50,,3.02%,€1.6B,€142.9M,247.6M,Trade
Lido DAO TokenLDO,€1.70,,0.21%,€1.5B,€70.8M,890.2M,Trade
Crypto.com CoinCRO,€0.0590,,0.76%,€1.5B,€6.2M,25.3B,Trade
NEAR ProtocolNEAR,€1.29,,4.75%,€1.3B,€91.6M,990.2M,Trade
vechainVET,€0.0175,,1.73%,€1.3B,€38.8M,72.7B,Trade
MakerMKR,"€1,236.30",,6.01%,€1.2B,€48.8M,977.6K,Trade
Aave MKR V2aMKRv2,"€1,237.48",,6.05%,€1.2B,€48.6M,977.6K,Trade
QuantQNT,€96.44,,1.67%,€1.2B,€14.4M,12.1M,Trade
ArbitrumARB,€0.89,,2.24%,€1.1B,€292.0M,1.3B,Trade
OptimismOP,€1.29,,3.40%,€1.1B,€120.0M,880.4M,Trade
AaveAAVE,€77.42,,0.61%,€1.1B,€94.4M,14.6M,Trade
MantleMNT,€0.36,,1.02%,€1.1B,€52.1M,3.1B,Trade
InjectiveINJ,€13.28,,4.12%,€1.1B,€90.5M,83.8M,Trade
THORChainRUNE,€2.82,,3.72%,€954.6M,€151.4M,338.8M,
The GraphGRT,€0.0994,,0.92%,€921.1M,€56.0M,9.3B,Trade
Bitcoin SVBSV,€45.00,,3.49%,€866.3M,€51.1M,19.3M,
StacksSTX,€0.59,,1.57%,€834.4M,€37.7M,1.4B,Trade
AlgorandALGO,€0.10,,1.22%,€814.4M,€39.5M,7.9B,Trade
RenderRNDR,€2.17,,5.93%,€808.1M,€79.7M,371.9M,Trade
MultiversXEGLD,€28.83,,0.84%,€751.2M,€19.7M,26.1M,Trade
ImmutableIMX,€0.60,,4.31%,€730.3M,€28.2M,1.2B,Trade
Theta NetworkTHETA,€0.71,,7.45%,€708.7M,€98.9M,1.0B,Trade
Axie InfinityAXS,€4.98,,5.61%,€705.3M,€58.5M,141.8M,Trade
USDDUSDD,€0.95,,0.88%,€686.5M,€17.8M,725.3M,Trade
TezosXTZ,€0.71,,0.00%,€675.1M,€19.8M,958.1M,Trade
XDC NetworkXDC,€0.0486,,4.47%,€674.2M,€7.3M,13.9B,
The SandboxSAND,€0.32,,3.24%,€665.3M,€84.2M,2.1B,Trade
EOSEOS,€0.59,,0.48%,€655.5M,€133.9M,1.1B,Trade
Bitget TokenBGB,€0.47,,2.55%,€651.3M,€17.1M,1.4B,Trade
DecentralandMANA,€0.34,,2.78%,€641.2M,€60.8M,1.9B,Trade
NeoNEO,€8.92,,6.83%,€630.0M,€67.6M,70.5M,
FantomFTM,€0.22,,3.62%,€619.6M,€70.7M,2.8B,Trade
Synthetix Network TokenSNX,€2.10,,3.48%,€573.5M,€37.4M,273.3M,Trade
Aave SNX V2aSNXv2,€2.10,,3.67%,€574.5M,€37.4M,273.3M,Trade
KavaKAVA,€0.63,,4.95%,€560.2M,€25.8M,892.6M,Trade
First Digital USDFDUSD,€0.95,,1.00%,€559.2M,€1.5B,589.6M,Trade
MinaMINA,€0.54,,6.94%,€539.6M,€44.1M,994.4M,Trade
ConfluxCFX,€0.15,,0.70%,€520.6M,€99.7M,3.4B,
eCashXEC,€0.000026,,1.05%,€511.5M,€13.5M,19.5T,
FlowFLOW,€0.49,,1.58%,€504.6M,€37.3M,1.0B,Trade
ChilizCHZ,€0.0627,,1.39%,€472.6M,€74.9M,7.6B,Trade
Tether GoldXAUt,"€1,886.37",,0.23%,€465.0M,€4.7M,246.5K,Trade
ApeCoinAPE,€1.25,,2.22%,€459.1M,€67.9M,368.6M,Trade
PAX GoldPAXG,"€1,856.51",,0.18%,€453.1M,€6.8M,243.8K,Trade
Gala V1GALA,€0.0176,,7.36%,€447.7M,€113.0M,25.4B,Trade
PepePEPE,€0.00000107,,3.31%,€444.7M,€104.7M,417.1T,Trade
IOTAIOTA,€0.15,,3.43%,€440.9M,€13.7M,3.0B,
Rocket PoolRPL,€22.02,,0.71%,€436.1M,€3.1M,19.8M,Trade
ZcashZEC,€26.20,,0.99%,€428.2M,€51.8M,16.3M,Trade
KuCoin TokenKCS,€4.35,,0.33%,€420.5M,€896.3K,96.7M,Trade
Trust Wallet TokenTWT,€1.00,,0.02%,€415.0M,€15.2M,416.6M,
Paxos StandardPAX,€0.95,,1.08%,€415.0M,€2.1M,438.8M,Trade
BitTorrent(New)BTT,€0.00000043,,7.38%,€411.9M,€32.9M,951.4T,Trade
Frax ShareFXS,€5.44,,3.44%,€407.4M,€19.4M,74.9M,Trade
Curve DAO TokenCRV,€0.45,,1.63%,€402.9M,€32.1M,898.8M,Trade
Aave CRV V2aCRVv2,€0.45,,1.78%,€402.6M,€32.1M,898.8M,Trade
KlaytnKLAY,€0.12,,2.57%,€400.9M,€13.6M,3.2B,
KlaytnKLAY,€0.12,,2.16%,€403.0M,€13.5M,3.2B,
dYdXDYDX,€2.17,,4.79%,€399.0M,€88.3M,183.8M,Trade
GMXGMX,€42.46,,0.19%,€388.9M,€12.6M,9.2M,
Huobi TokenHT,€2.32,,2.14%,€375.8M,€5.2M,162.2M,Trade
CasperCSPR,€0.0325,,3.37%,€371.7M,€3.8M,11.4B,
ArweaveAR,€5.60,,0.72%,€366.3M,€21.9M,65.5M,
WOO NetworkWOO,€0.20,,1.27%,€356.8M,€14.4M,1.8B,Trade
GateTokenGT,€3.63,,0.50%,€344.9M,€1.4M,94.9M,Trade
TerraLUNA,€0.000059,,1.66%,€344.5M,€20.3M,5.8T,Trade
NexoNEXO,€0.61,,1.35%,€340.4M,€2.1M,560.0M,Trade
CompoundCOMP,€42.65,,3.07%,€337.8M,€39.9M,7.9M,Trade
APENFTNFT,€0.00000033,,3.42%,€331.2M,€23.0M,990.1T,Trade
ZilliqaZIL,€0.0187,,6.60%,€324.7M,€38.1M,17.4B,
Oasis NetworkROSE,€0.0487,,1.37%,€316.3M,€13.4M,6.5B,Trade
QtumQTUM,€3.02,,9.90%,€316.0M,€59.8M,104.8M,
DashDASH,€27.44,,2.72%,€315.0M,€46.2M,11.5M,Trade
CelestiaTIA,€2.20,,11.66%,€310.0M,€424.8M,141.0M,
JUSTJST,€0.0344,,28.44%,€307.3M,€117.7M,8.9B,
Basic Attention TokenBAT,€0.20,,0.83%,€293.5M,€17.9M,1.5B,Trade
1inch1INCH,€0.28,,0.33%,€287.4M,€20.4M,1.0B,Trade
FLOKIFLOKI,€0.000030,,6.11%,€287.0M,€59.1M,9.5T,Trade
AstarASTR,€0.0516,,1.02%,€275.8M,€17.7M,5.3B,
SafePalSFP,€0.65,,4.35%,€274.3M,€8.0M,420.8M,Trade
Fetch.aiFET,€0.33,,4.64%,€269.1M,€69.1M,812.4M,Trade
MX TOKENMX,€2.66,,0.28%,€267.7M,€3.0M,100.6M,Trade
NEMXEM,€0.0297,,6.19%,€267.6M,€11.5M,9.0B,
TellorTRB,€106.47,,2.47%,€264.8M,€52.7M,2.5M,Trade
SingularityNETAGIX,€0.21,,2.31%,€264.3M,€31.0M,1.2B,Trade
PancakeSwapCAKE,€1.17,,0.78%,€263.8M,€13.0M,226.4M,Trade
GnosisGNO,€101.36,,0.07%,€262.2M,€5.0M,2.6M,Trade
FLAREFLR,€0.0096,,1.64%,€259.5M,€8.1M,27.0B,Trade
LoopringLRC,€0.19,,1.37%,€252.5M,€16.3M,1.3B,Trade
Theta FuelTFUEL,€0.0383,,7.63%,€242.5M,€25.6M,6.3B,
Enjin CoinENJ,€0.24,,0.03%,€244.0M,€23.4M,1.0B,Trade
TerraLUNA,€0.42,,5.05%,€239.6M,€32.8M,566.4M,
Bitcoin GoldBTG,€13.61,,0.72%,€238.2M,€12.9M,17.5M,
CeloCGLD,€0.45,,0.11%,€236.7M,€12.6M,518.4M,Trade
BlurBLUR,€0.22,,0.84%,€232.5M,€37.7M,1.0B,Trade
aelfELF,€0.34,,0.29%,€232.1M,€6.3M,682.6M,Trade
ChiaXCH,€25.50,,3.20%,€227.2M,€24.5M,8.9M,
STEPNGMT,€0.18,,0.38%,€226.3M,€46.1M,1.3B,Trade
HoloHOT,€0.0013,,1.89%,€225.3M,€14.8M,172.3B,Trade
Mask NetworkMASK,€2.73,,2.31%,€224.5M,€57.9M,82.1M,Trade
AnkrANKR,€0.0224,,5.12%,€225.1M,€33.4M,10.0B,Trade
Convex FinanceCVX,€2.67,,2.66%,€216.7M,€7.3M,81.5M,Trade
Ethereum Name ServiceENS,€7.12,,3.42%,€216.4M,€12.8M,30.1M,Trade
Aave ENS V2aENSv2,€7.20,,3.52%,€216.4M,€12.8M,30.1M,Trade
ThresholdT,€0.0230,,11.77%,€214.8M,€120.6M,9.3B,Trade
0x ProtocolZRX,€0.25,,4.27%,€214.1M,€65.3M,847.5M,Trade
Akash NetworkAKT,€0.96,,6.17%,€212.6M,€3.3M,220.8M,Trade
RavencoinRVN,€0.0161,,2.23%,€212.0M,€11.2M,13.1B,
Golem (Old)GNT,€0.21,,1.38%,€205.3M,€5.9M,1.0B,Trade
GolemGLM,€0.20,,1.45%,€205.2M,€5.9M,1.0B,Trade
HeliumHNT,€1.41,,2.53%,€202.9M,€1.5M,143.9M,Trade
WorldcoinWLD,€1.82,,3.04%,€202.5M,€107.9M,111.2M,Trade
StatusSNT,€0.0526,,93.72%,€203.7M,€626.0M,3.9B,Trade
ICONICX,€0.21,,1.10%,€200.6M,€10.9M,970.9M,
Ocean ProtocolOCEAN,€0.35,,1.16%,€200.5M,€33.2M,568.4M,Trade
IoTeXIOTX,€0.0209,,0.01%,€197.3M,€10.9M,9.4B,Trade
WAXWAXP,€0.0572,,1.07%,€193.0M,€53.1M,3.4B,
